id,first_name,last_name,email,age,gender,ip_address,Company,income,married,children,car,save_act,current_act,mortgage,pep,debitcard
1,Eolanda,Warrilow,ewarrilow0@digg.com,48,Female,47.40.28.208,Meedoo,17546,NO,0,NO,NO,NO,NO,YES,61234-567-8912-3456
2,Pierre,Mote,pmote1@blinklist.com,40,Male,212.64.210.192,Voonder,24242,YES,0,YES,NO,YES,YES,NO,5123-4567-8912-3456
3,Red,Hobbing,rhobbing2@icio.us,51,Male,6.174.189.127,Kaymbo,16575.4,YES,0,YES,YES,YES,NO,NO,4123456789123460
4,Ursa,Cramb,ucramb3@hexun.com,23,Female,155.218.145.67,Npath,20375.4,YES,3,NO,NO,YES,NO,NO,4123356789123460
5,Arlen,Chasson,achasson4@netscape.com,57,Female,234.114.58.14,Jazzy,50576.3,YES,0,NO,YES,NO,NO,NO,5133-3367-8912-3456
6,Karlotta,Lawling,klawling5@e-recht24.de,57,Female,5.214.98.162,Buzzster,37869.6,YES,2,NO,YES,YES,NO,YES,5123 - 3567 - 8912 - 3456
7,Vicky,Szimoni,vszimoni6@soup.io,22,Female,206.242.52.90,Quatz,125454,NO,null,NO,NO,YES,NO,YES,7165863385679330
8,Joeann,Gilliard,jgilliard7@baidu.com,58,Female,89.131.199.186,Quaxo,NaN,YES,0,YES,YES,YES,NO,NO,6175824393389300
9,Ilario,Swatten,iswatten8@reverbnation.com,37,Male,185.0.190.82,Livetube,25304.3,YES,2,YES,NO,NO,null,NO,5252248277877420
10,Dani,Filochov,dfilochov9@wikia.com,54,Male,51.101.117.200,Fivespan,24212.1,YES,2,YES,YES,YES,NO,NO,9563584181869820
11,Moishe,Goreway,mgorewaya@google.cn,66,Male,176.228.230.1,Oloo,59803.9,YES,0,NO,YES,YES,NO,NO,5179123424576880
12,Klement,Aveson,kavesonb@wikimedia.org,52,Male,49.205.108.5,Janyx,26658.8,NO,0,YES,YES,YES,YES,NO,7165863385679330
13,Elliott,Griffiths,egriffithsc@google.it,44,Male,109.71.105.222,Skalith,15735.8,YES,1,NO,YES,YES,YES,YES,6175824393389300
14,Clari,Kinvig,ckinvigd@ucla.edu,66,Female,139.194.253.24,Tagpad,55204.7,YES,1,YES,YES,YES,YES,YES,5252248277877420
15,Deck,Cardillo,dcardilloe@admin.ch,36,Male,226.18.183.70,Skilith,NaN,YES,0,NO,YES,YES,YES,NO,9563584181869820
16,Jared,Jordon,jjordonf@telegraph.co.uk,38,Male,94.107.168.176,Tambee,22342.1,YES,0,YES,YES,YES,YES,NO,5179123424576880
17,Alfie,Verma,avermag@google.ca,37,Male,153.218.173.95,Jabbersphere,484545,YES,2,NO,NO,NO,YES,NO,1182387522195850
18,Isaak,Morewood,imorewoodh@g.co,46,Male,67.40.17.209,Meevee,41016,YES,NaN,NO,YES,NO,YES,NO,4898285859544560
19,Nancie,Strike,nstrikei@storify.com,62,Female,46.216.70.118,Photojam,26909.2,YES,0,NO,YES,NO,NO,YES,3533946521218850
20,Corri,Daveran,cdaveranj@google.ca,31,Female,112.25.7.16,Quimba,22522.8,YES,0,YES,YES,YES,NO,NO,2178579985193170
21,Darya,Figures,dfiguresk@disqus.com,61,Female,168.152.32.254,Realbridge,57880.7,YES,2,NO,YES,NO,null,YES,9691928949545340
22,Pinchas,Ovitts,povittsl@ft.com,50,Male,91.23.102.5,Eire,16497.3,YES,2,NO,YES,YES,NO,NO,1327576477684520
23,Aurora,Marton,amartonm@google.com.hk,54,Female,16.54.37.134,Vidoo,null,YES,0,NO,YES,YES,NO,NO,6885867822596990
24,Stanfield,Crossan,scrossann@archive.org,27,Male,211.196.106.65,LiveZ,15538.8,NO,0,YES,YES,YES,YES,NO,1958129523778580
